,zipCode,Density,LandArea,Population,Wealthy
2768,94111,10920.5882353,0.34,3713.0,70755.441422
2769,94105,15800.0,0.37,5846.0,88364.2718098
2771,94111,10920.5882353,0.34,3713.0,70755.441422
2772,94103,19977.9411765,1.36,27170.0,23481.6626426
2774,94110,29756.6523605,2.33,69333.0,27502.0329136
2778,94118,19650.7692308,1.95,38319.0,41202.501083
2782,94102,46531.3432836,0.67,31176.0,15423.1812292
2786,94103,19977.9411765,1.36,27170.0,23481.6626426
2787,94121,13377.5974026,3.08,41203.0,29058.4811543
2792,94118,19650.7692308,1.95,38319.0,41202.501083
2793,94110,29756.6523605,2.33,69333.0,27502.0329136
2795,94110,29756.6523605,2.33,69333.0,27502.0329136
2798,94124,6895.74036511,4.93,33996.0,13046.1346629
2799,94109,47045.3781513,1.19,55984.0,33224.3382216
2804,94102,46531.3432836,0.67,31176.0,15423.1812292
2807,94103,19977.9411765,1.36,27170.0,23481.6626426
2809,94110,29756.6523605,2.33,69333.0,27502.0329136
2810,94124,6895.74036511,4.93,33996.0,13046.1346629
2812,94114,21765.034965,1.43,31124.0,55081.8068693
2814,94134,16999.1666667,2.4,40798.0,16602.7983725
2815,94109,47045.3781513,1.19,55984.0,33224.3382216
2816,94108,50992.5925926,0.27,13768.0,50804.5254939
2817,94127,10897.740113,1.77,19289.0,43491.6667531
2819,94131,12923.5576923,2.08,26881.0,43765.7415647
2820,94114,21765.034965,1.43,31124.0,55081.8068693
2821,94127,10897.740113,1.77,19289.0,43491.6667531
2822,94105,15800.0,0.37,5846.0,88364.2718098
2831,94131,12923.5576923,2.08,26881.0,43765.7415647
2832,94110,29756.6523605,2.33,69333.0,27502.0329136
2833,94117,23176.9230769,1.69,39169.0,38289.6465317
2834,94134,16999.1666667,2.4,40798.0,16602.7983725
2835,94124,6895.74036511,4.93,33996.0,13046.1346629
2837,94121,13377.5974026,3.08,41203.0,29058.4811543
2839,94127,10897.740113,1.77,19289.0,43491.6667531
2840,94114,21765.034965,1.43,31124.0,55081.8068693
2841,94114,21765.034965,1.43,31124.0,55081.8068693
2843,94115,29483.0357143,1.12,33021.0,43106.9525756
2844,94122,23738.559322,2.36,56023.0,26177.8981311
2849,94117,23176.9230769,1.69,39169.0,38289.6465317
2851,94115,29483.0357143,1.12,33021.0,43106.9525756
2853,94115,29483.0357143,1.12,33021.0,43106.9525756
2856,94122,23738.559322,2.36,56023.0,26177.8981311
2859,94107,14859.7765363,1.79,26599.0,49267.0613557
2860,94110,29756.6523605,2.33,69333.0,27502.0329136
2863,94112,23633.0357143,3.36,79407.0,18441.9432796
2866,94107,14859.7765363,1.79,26599.0,49267.0613557
2871,94124,6895.74036511,4.93,33996.0,13046.1346629
2872,94112,23633.0357143,3.36,79407.0,18441.9432796
2873,94131,12923.5576923,2.08,26881.0,43765.7415647
2875,94121,13377.5974026,3.08,41203.0,29058.4811543
2877,94127,10897.740113,1.77,19289.0,43491.6667531
2882,94121,13377.5974026,3.08,41203.0,29058.4811543
2883,94107,14859.7765363,1.79,26599.0,49267.0613557
2884,94124,6895.74036511,4.93,33996.0,13046.1346629
2885,94132,9044.69453376,3.11,28129.0,19735.4509581
2886,94110,29756.6523605,2.33,69333.0,27502.0329136
2890,94124,6895.74036511,4.93,33996.0,13046.1346629
2891,94107,14859.7765363,1.79,26599.0,49267.0613557
2892,94114,21765.034965,1.43,31124.0,55081.8068693
2893,94117,23176.9230769,1.69,39169.0,38289.6465317
2894,94107,14859.7765363,1.79,26599.0,49267.0613557
2895,94124,6895.74036511,4.93,33996.0,13046.1346629
2896,94122,23738.559322,2.36,56023.0,26177.8981311
2897,94110,29756.6523605,2.33,69333.0,27502.0329136
2898,94124,6895.74036511,4.93,33996.0,13046.1346629
2899,94124,6895.74036511,4.93,33996.0,13046.1346629
2900,94116,16871.8146718,2.59,43698.0,26774.0563184
2901,94112,23633.0357143,3.36,79407.0,18441.9432796
2903,94103,19977.9411765,1.36,27170.0,23481.6626426
2906,94121,13377.5974026,3.08,41203.0,29058.4811543
2907,94105,15800.0,0.37,5846.0,88364.2718098
2909,94110,29756.6523605,2.33,69333.0,27502.0329136
2911,94124,6895.74036511,4.93,33996.0,13046.1346629
2912,94108,50992.5925926,0.27,13768.0,50804.5254939
2915,94107,14859.7765363,1.79,26599.0,49267.0613557
2916,94131,12923.5576923,2.08,26881.0,43765.7415647
2917,94124,6895.74036511,4.93,33996.0,13046.1346629
2919,94110,29756.6523605,2.33,69333.0,27502.0329136
2920,94133,34522.3684211,0.76,26237.0,28489.6979456
2921,94107,14859.7765363,1.79,26599.0,49267.0613557
2923,94116,16871.8146718,2.59,43698.0,26774.0563184
2924,94124,6895.74036511,4.93,33996.0,13046.1346629
